,name,price,price_m2,m2,rooms,floor,map,url
38,"Mieszkanie inwestycyjne, gotowiec, ROI 8%, Warszawa",650000,13800.42,47.10,4,2,"Warszawa, Ochota",https://www.olx.pl/d/oferta/mieszkanie-inwestycyjne-gotowiec-roi-8-warszawa-CID3-IDOOZvF.html
39,"REZERWACJA 3 pokoje po generalnym remoncie, metro Młynów, bezpośrednio",829000,14685.56,56.45,3,4,"Warszawa, Wola",https://www.olx.pl/d/oferta/rezerwacja-3-pokoje-po-generalnym-remoncie-metro-mlynow-bezposrednio-CID3-IDOKsaG.html
40,"2 pokoje, 36,5m2 Metro Wawrzyszew",489000,13397.26,36.50,2,Parter,"Warszawa, Bielany",https://www.olx.pl/d/oferta/2-pokoje-36-5m2-metro-wawrzyszew-CID3-IDOYoiO.html
41,"Sprzedam mieszkanie Jabłonna, ul. Leśna z miejscem postojowym",310000,8611.11,36,1,2,"Warszawa, Białołęka",https://www.olx.pl/d/oferta/sprzedam-mieszkanie-jablonna-ul-lesna-z-miejscem-postojowym-CID3-IDLZVBW.html
42,Mieszkanie 44m2 Warszawa,695000,15795.45,44,2,7,"Warszawa, Śródmieście",https://www.olx.pl/d/oferta/mieszkanie-44m2-warszawa-CID3-IDOGQ5b.html
43,Bezpośrednio ładna kawalerka 39 m2 z klimatem i potencjałem Wawa,395000,10128.21,39,2,2,"Warszawa, Białołęka",https://www.olx.pl/d/oferta/bezposrednio-ladna-kawalerka-39-m2-z-klimatem-i-potencjalem-wawa-CID3-IDOQQ8o.html
44,"2 pokoje, kuchnia, balkon, 38 m2, po remoncie, SKM Gocławek, las.",449000,11815.79,38,2,2,"Warszawa, Wawer",https://www.olx.pl/d/oferta/2-pokoje-kuchnia-balkon-38-m2-po-remoncie-skm-goclawek-las-CID3-IDO7GjG.html
45,"Przytulne mieszkanie Osiedle Wilno  51,6 m2 - 3 pokoje",655000,12596.15,52,3,3,"Warszawa, Targówek",https://www.olx.pl/d/oferta/przytulne-mieszkanie-osiedle-wilno-51-6-m2-3-pokoje-CID3-IDMkYyK.html
46,Komfortowe 3-pokojowe mieszkanie na gr. Białołęka-Targówek,658000,11152.54,59,3,2,"Warszawa, Białołęka",https://www.olx.pl/d/oferta/komfortowe-3-pokojowe-mieszkanie-na-gr-bialoleka-targowek-CID3-IDLeMWA.html
47,"Bezpośrednio, Bez PCC 2%, słoneczne mieszkanie z widokiem na zieleń",600000,13959.98,42.98,2,4,"Warszawa, Praga-Południe",https://www.olx.pl/d/oferta/bezposrednio-bez-pcc-2-sloneczne-mieszkanie-z-widokiem-na-zielen-CID3-IDNBoOu.html
48,Wapowskiego 6 - Gotowe mieszkanie po remoncie,619000,11462.96,54,3,1,"Warszawa, Ursus",https://www.olx.pl/d/oferta/wapowskiego-6-gotowe-mieszkanie-po-remoncie-CID3-IDOURzJ.html
49,Apartament 2-poziomowy Ochota Włodarzewska 53C,1136500,10000,113.65,3,3,"Warszawa, Ochota",https://www.olx.pl/d/oferta/apartament-2-poziomowy-ochota-wlodarzewska-53c-CID3-IDOAkyp.html
50,Wyjątkowe mieszkanie przy metrze z dużym tarasem,725000,15104.17,48,2,1,"Warszawa, Bemowo",https://www.olx.pl/d/oferta/wyjatkowe-mieszkanie-przy-metrze-z-duzym-tarasem-CID3-IDOWBIx.html
